customer_id,age,gender,subscription_tier,usage_count,last_login_days_ago,late_payments_6m,monthly_spend,region,churn
1,56,Female,Standard,24,0,0,44.85,North America,1
2,69,Male,Standard,10,0,0,47.12,Europe,0
3,46,Female,Standard,16,57,0,48.12,Asia,0
4,32,Male,Premium,14,23,0,106.11,Asia,0
5,60,Male,Premium,12,0,0,97.36,Asia,1
6,25,Male,Premium,10,31,0,100.49,North America,0
7,38,Female,Standard,16,18,0,47.24,North America,0
8,56,Female,Basic,16,15,0,22.84,Asia,0
9,36,Female,Standard,17,52,0,53.61,Asia,0
10,40,Female,Standard,16,31,0,55.94,Asia,0
11,28,Male,Basic,17,30,0,24.63,North America,0
12,28,Female,Basic,20,0,1,7.92,Europe,0
13,41,Female,Standard,21,0,0,42.39,Asia,0
14,70,Male,Standard,23,28,0,51.04,Asia,0
15,53,Female,Standard,17,0,1,51.18,North America,0
16,57,Male,Basic,21,16,0,18.59,Africa,0
17,41,Male,Standard,10,23,0,54.8,North America,0
18,20,Male,Basic,18,12,1,27.52,Europe,0
19,39,Male,Standard,7,0,0,46.56,Asia,0
20,70,Female,Standard,7,35,0,42.21,North America,1
21,19,Male,Premium,14,49,1,102.18,North America,0
22,41,Male,Standard,11,0,0,46.97,South America,0
23,61,Male,Standard,16,46,0,39.34,North America,1
24,47,Female,Standard,18,39,2,51.43,North America,0
25,55,Female,Standard,22,22,0,52.21,Africa,0
26,19,Male,Basic,12,24,0,16.47,Asia,0
27,38,Male,Standard,16,28,1,49.2,Asia,0
28,50,Male,Standard,15,20,0,51.58,North America,0
29,29,Female,Standard,17,45,0,57.34,North America,0
30,39,Male,Basic,12,17,0,23.08,Asia,0
31,61,Male,Premium,12,21,0,92.51,Africa,1
32,42,Male,Basic,8,0,0,27.41,North America,0
33,66,Female,Basic,5,0,0,28.52,Europe,0
34,44,Female,Premium,21,51,0,102.11,Europe,0
35,59,Male,Premium,19,0,0,105.63,Asia,0
36,45,Male,Basic,16,51,1,13.94,Europe,0
37,33,Male,Premium,13,27,0,100.19,North America,0
38,32,Female,Basic,8,53,1,24.27,North America,0
39,64,Female,Standard,21,42,0,51.3,North America,0
40,68,Female,Standard,21,47,0,46.29,Asia,1
41,61,Female,Standard,18,20,0,44.97,Asia,0
42,69,Male,Standard,18,43,0,51.44,Asia,1
43,20,Female,Basic,14,16,0,23.78,Asia,0
44,54,Female,Basic,12,0,0,14.27,Europe,0
45,68,Male,Standard,14,28,0,47.31,Europe,0
46,24,Female,Basic,17,33,1,31.75,North America,0
47,38,Male,Premium,19,0,0,103.21,North America,0
48,26,Male,Standard,10,42,0,48.76,North America,0
49,56,Female,Basic,16,0,1,24.9,Europe,0
50,35,Female,Standard,17,15,0,53.69,North America,0
51,21,Female,Basic,13,18,0,21.15,Asia,0
52,42,Male,Basic,11,0,0,21.25,Europe,0
53,31,Female,Standard,18,0,0,46.69,Europe,0
54,67,Female,Premium,16,16,1,104.71,North America,0
55,26,Male,Standard,17,7,1,46.0,Europe,0
56,43,Female,Basic,13,42,0,24.36,South America,0
57,70,Female,Standard,16,13,0,54.71,North America,0
58,19,Male,Basic,16,0,0,17.18,North America,0
59,37,Female,Basic,15,0,0,11.56,South America,0
60,45,Male,Premium,17,29,0,103.58,Asia,1
61,64,Male,Premium,11,56,0,103.9,Europe,0
62,24,Male,Basic,22,47,0,22.18,Asia,0
63,61,Female,Standard,15,0,0,42.7,North America,0
64,25,Male,Premium,22,0,1,101.49,Asia,0
65,64,Female,Basic,11,0,0,28.82,Asia,0
66,52,Male,Basic,6,22,1,28.22,North America,0
67,31,Female,Premium,8,18,0,106.27,Asia,0
68,34,Female,Standard,22,0,0,52.92,Europe,0
69,53,Female,Basic,16,0,1,22.54,Europe,0
70,67,Male,Basic,14,60,1,17.52,Europe,0
71,57,Female,Basic,17,57,0,28.33,Europe,0
72,21,Female,Standard,16,0,0,50.98,North America,0
73,19,Female,Standard,15,0,0,55.82,North America,0
74,23,Male,Standard,19,51,0,48.56,Africa,0
75,59,Female,Standard,18,19,0,53.07,Europe,0
76,21,Male,Basic,17,56,1,19.46,North America,0
77,46,Female,Basic,20,20,0,12.42,North America,0
78,35,Female,Basic,14,23,0,16.22,North America,0
79,43,Male,Premium,17,2,0,98.01,Asia,0
80,61,Male,Standard,18,48,0,57.63,North America,1
81,51,Male,Basic,13,43,2,14.47,Asia,1
82,27,Female,Standard,9,9,0,45.07,Europe,0
83,53,Female,Premium,11,25,0,96.36,North America,0
84,31,Male,Standard,12,9,0,56.09,North America,0
85,48,Male,Basic,14,16,0,19.28,Asia,0
86,65,Male,Basic,18,46,0,19.42,North America,0
87,32,Male,Basic,17,13,0,24.05,Europe,0
88,25,Male,Premium,12,45,0,108.32,Asia,0
89,31,Female,Standard,17,57,0,59.83,North America,0
90,40,Male,Standard,12,13,1,57.77,Asia,0
91,57,Female,Premium,22,48,1,99.08,North America,0
92,38,Female,Premium,14,7,1,98.11,North America,0
93,33,Male,Basic,16,0,0,19.22,North America,0
94,62,Female,Basic,14,0,1,11.35,Europe,0
